No.,GlassNo.,DataSource,Year,DataSourceNumber,State,GlassSystem1,GlassSystem2,GlassSystem3,Appearance1,Appearance2,Appearance3,Appearance4,Usage1,Usage2,Usage3,Usage4,ThermalTreatment,Note,GlassNo.(Structure),SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,Ag2O,MnO,FeO,CoO,NiO,CuO,ZnO,SrO,CdO,PbO,SnO,Cr2O3,Fe2O3,As2O3,Y2O3,Sb2O3,La2O3,Nd2O3,Gd2O3,Bi2O3,Co3O4,TiO2,MnO2,GeO2,ZrO2,CeO2,SnO2,P2O5,Ta2O5,Nb2O3,SO3,MoO3,WO3,H2O,LiF,NaF,KF,MgF2,CaF2,SrF2,BaF2,ZnF2,PbF2,YF3,AlF3,LaF3,GdF3,YbF3,ErF3,F,Cl,Br,Ag,Young'sModulusatRT(GPa)
1564,GJ03-072982,PhysicsandChemistryofGlasses,1961,v.002p.0069,Glass,Alkaline-earthSilicate,,,,,,,,,,,,,,46.54,0,3.87,20.37,20.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05,0,0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.6
5297,GJ02-216687,J.Jpn.Inst.Metals&Materials(J),2000,v.064p.0177,Glass,AlkaliSilicate,,,,,,,,,,,,,,70,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.3
7625,GP03-274490,JapanesePatent,2006,A213595,Glass,Alkaline-earthSilicate,Boro-Silicate,Alumino-Silicate,NonAlkali,,,,Display,LiquidCrystalDisplay,,,,HenanAncaiHigh-techCo.Ex.9,,71.29,6.62,6.74,6.2,8.13,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.9
771,GB05-025795,HandbookofGlassData,1987,v.00Cp.0454,Glass,Boro-Silicate,AlkaliSilicate,,,,,,,,,,,,,47.62,47.62,0,0,0,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.91
6724,XP03-253735,USPatentKonicaMinolta(J),2003,A6649549,Glass-Ceramics,Alkaline-earthSilicate,Alumino-Silicate,,,,,,Substrate,MagneticMemoryDisk,,,,Heattreatment:660C5h+700C5hCrystalothers:ClinoenstatiteMg-Al-silicateEx.2,,43.4,0,13.07,28.75,0,0,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.2
7897,GP06-282138,USPatent,2007,A0265156,Glass,Alumino-Silicate,Alkaline-earthSilicate,,NonAlkali,,,,Battery,Display,Substrate,,,U.Peuchertetal.Ex.A5,,65.39,5.38,9.73,12.54,6.23,0,0,0,0,0,0,0,0,0,0,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
3494,GI06-190631R,NGF'sAdditionalNewData(J),2000,v.002p.0001,Glass,Alumino-Silicate,AlkaliSilicate,OtherSilicate,,,,,MagneticRecordingHead,,,,Anneal:at700Cfor2hr.,GlassNameA49.Melt:inPtat1600Cfor5hr.GlassforChem.Strengthen.,,65.24,0,9.67,0,0,0,10,10.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,4.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.27
740,GB05-025764,HandbookofGlassData,1987,v.00Cp.0453,Glass,Boro-Silicate,AlkaliSilicate,,,,,,,,,,,,,43.48,43.48,0,0,0,0,0,13.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.14
4102,XP06-210751,JapanesePatentKonicaMinolta(J),2001,A019476,Glass-Ceramics,Alumino-Silicate,AlkaliSilicate,,,,,,MagneticMemoryDisk,,,,,,,71.01,0,4.94,0,4.23,0,15.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48,0,0,1.44,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.8
1512,GB02-071316,HandbookofGlassData,1983,v.00Ap.0317,Glass,AlkaliSilicate,,,,,,,,,,,,Heat-treatmentcondition:600C/8hr,,87.4,0,0,0,0,0,0,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.82
982,GJ02-041104,GlassPhysics&Chemistry,1981,v.007p.0131,Glass,AlkaliSilicate,,,,,,,,,,,,,,75,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.4
9335,GP03-307846,USPatentHoyaCorp.(J),2012,A0107647,Glass,Alkaline-earthSilicate,AlkaliSilicate,,,,,,Substrate,MagneticMemoryDisk,,,,Ex.1,,64,0,5,4,13,0,1.5,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.5
9860,GP05-313566,EuropeanPatentCorningInc.(US),2013,A2646379,Glass,Boro-Silicate,Alkaline-earthSilicate,Alumino-Silicate,,,,,Substrate,,,,,Crackresiatantglass.Ex.6,,59.92,18.31,9.43,2.51,5.82,0,0,0,0,0,0,0,0,0,0,0,3.88,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.5
1461,GP09-065242,JapanesePatentSchottGlassTech.(US),1987,A216938,Glass,OtherSilicate,Zinc-Silicate,AlkaliSilicate,,,,,Laser,,,,,,,19.98,4.99,0,0,0,0,0,0,4.99,0,0,0,0,0,0,9.98,0,0,0,0,0,0,0,0,0,2.57,2.49,0,0,0,0,0,0,0,0,0,54.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
3261,GJ05-187174,J.AmericanCeramicSoc.,1999,v.082p.3501,Glass,Boro-Silicate,,,,,,,,,,,,,,50,25,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
3350,GP03-188928,JapanesePatentNipponSheetGlass(J),1999,A302031,Glass,Alkaline-earthSilicate,AlkaliSilicate,Alumino-Silicate,,,,,MagneticMemoryDisk,Substrate,,,,,,47,0,13,8,10,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107
548,GB02-019747,HandbookofGlassData,1987,v.00Cp.0209,Glass,AlkaliSilicate,Alkaline-earthSilicate,,,,,,,,,,,,,65.8,0,0,0,0,0,0,0,15.5,0,0,0,0,0,0,0,18.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.52
3087,GP05-179714,USPatentSchottGlas(Jena)(DE),1997,A5599753,Glass,Boro-Silicate,,,,,,,,,,,,,,80.69,7.97,2.69,0,0.33,0,1.04,6.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
4793,XP03-212687,JapanesePatentKonicaMinolta(J),2001,A287944,Glass-Ceramics,Alkaline-earthSilicate,OtherSilicate,,GlassCeramics,,,,MagneticMemoryDisk,,,,,crystal:(MgAl)SiO3,,43.62,0,2.68,32.51,0,0,9.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,11.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.2
6488,GP05-252961,JapanesePatentHoyaCorp.(J),2003,A292339,Glass,Boro-Silicate,AlkaliSilicate,,,,,,Lens&Prism,LiquidCrystalDisplay,,,,Ex.6,,69.98,13.5,1.5,0,0,0,0,10,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
3930,GP03-206019,JapanesePatentAsahiGlass(J),2000,A357318,Glass,Alkaline-earthSilicate,AlkaliSilicate,Alumino-Silicate,,,,,Substrate,MagneticMemoryDisk,,,,,,64,0,5.9,7.5,5.5,0,6.5,2,3,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,1.7,0,0,0,0,0,0,2,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
2837,GB02-164811,FundamentalsofInorganicGlasses,1994,v.001p.0171,Glass,AlkaliSilicate,Zinc-Silicate,,,,,,,,,,,,,71.43,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
5385,GI06-217330,Proc.ICG,1998,v.D04p.:011,Glass,Alumino-Silicate,AlkaliSilicate,Alkaline-earthSilicate,,,,,,,,,,,,60,0,16,0,8,0,0,6.4,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.13
4963,XP06-212857,JapanesePatentKonicaMinolta(J),2001,A287961,Glass-Ceramics,Alumino-Silicate,Alkaline-earthSilicate,OtherSilicate,GlassCeramics,,,,MagneticMemoryDisk,,,,,crystal:(MgAl)SiO3,,42.98,0,11.64,24.3,0,0,9.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.9
5086,XP03-213095,JapanesePatentHoyaCorp.(J),2001,A325722,Glass-Ceramics,Alkaline-earthSilicate,Alumino-Silicate,OtherSilicate,GlassCeramics,,,,Substrate,MagneticMemoryDisk,,,,Crystal:Titanate,,46,0,10.5,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.8
7772,XP03-278402,JapanesePatentHoyaCorp.(J),2007,A091527,Glass-Ceramics,Alkaline-earthSilicate,Alumino-Silicate,,,,,,Substrate,MagneticMemoryDisk,,,757C4hr+1000C4hr,Ex.9Crystalothers:titanate,,46,0,10.5,30,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148
