No.,GlassNo.,DataSource,Year,DataSourceNumber,State,GlassSystem1,GlassSystem2,GlassSystem3,Appearance1,Appearance2,Appearance3,Appearance4,Usage1,Usage2,Usage3,Usage4,ThermalTreatment,Note,GlassNo.(Structure),SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,Ag2O,MnO,FeO,CoO,NiO,CuO,ZnO,SrO,CdO,PbO,SnO,Cr2O3,Fe2O3,As2O3,Y2O3,Sb2O3,La2O3,Nd2O3,Gd2O3,Bi2O3,Co3O4,TiO2,MnO2,GeO2,ZrO2,CeO2,SnO2,P2O5,Ta2O5,Nb2O3,SO3,MoO3,WO3,H2O,LiF,NaF,KF,MgF2,CaF2,SrF2,BaF2,ZnF2,PbF2,YF3,AlF3,LaF3,GdF3,YbF3,ErF3,F,Cl,Br,Ag,AbbeValue(nd-1)/(nF-nC)
5526,GP05-108173,EuropeanPatentCorningInc.(US),1990,A0396896,Glass,Boro-Silicate,Alkaline-earthSilicate,,Photochromic,,,,OphthalmicLens,,,,,,,54.87,17.06,0.3,0,0,0,0,0,4.82,0,0,0,0,0,0.01,0,10.42,0,0,0,0,0,0,0,0,0,0,0,0,0,6.64,0,0,4.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0.45,0.19,46.7
13355,GP03-284154,JapanesePatentOharaInc.(J),2008,A019103,Glass,Alkaline-earthSilicate,,,,,,,OpticalUse,Lens&Prism,,,,Ex.10,,50.34,14.68,5.58,0,0,29.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.7
10210,GP02-222512,JapanesePatentNipponSheetGlass(J),2002,A121048,Glass,AlkaliSilicate,Alkaline-earthSilicate,,NonLead,,,,Substrate,,,,,,,52,0,0,4,0,11,16.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2.5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.29
11105,GJ04-245077,J.Res.NationalBureauofStandards,1951,v.046p.0176,Glass,Lead-Silicate,,,,,,,OpticalUse,,,,,viscosityanddensityofmoltenglasseswithacounterbalanced-spheremethod,,61.68,0,0,0,0,0,0,0,2.9,0,0,0,0,0,0,0,0,0,35.24,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.7
10870,GP02-227726,USPatentSchottAG(DE),2003,A6551952,Glass,AlkaliSilicate,OtherSilicate,,NonLead,,,,OpticalUse,,,,,Ex.2,,59.82,0,5.45,0,0,0,0,8.97,10.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,14.8,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.81
2322,GJ04-041185,GlassPhysics&Chemistry,1985,v.011p.0360,Glass,Lead-Silicate,AlkaliSilicate,,,,,,OpticsOptoelectronics,,,,,,,75.94,0,0,0,0,0,0,0,8.7,0,0,0,0,0,0,0,0,0,15.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6
11414,GP03-253564,USPatentSchottAG(DE),2003,A6627569,Glass,Alkaline-earthSilicate,AlkaliSilicate,OtherSilicate,,,,,ReinforcementofCement,,,,,Ex.A10,,61.03,0,3.94,13.31,4.78,1.75,0,8.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.41
2339,GB03-024269,HandbookofGlassData,1987,v.00Cp.0684,Glass,Alkaline-earthSilicate,Zinc-Silicate,,,,,,,,,,,,,60,0,0,0,0,28,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.9
2608,GP03-031102,JapanesePatentSchottAG(DE),1983,A135151,Glass,Alkaline-earthSilicate,AlkaliSilicate,Boro-Silicate,,,,,OpticsOptoelectronics,OphthalmicLens,,,,,,51.49,5.33,0,8.21,14.52,0,14.71,1.66,0,0,0,0,0,0,0,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.4
15984,GP02-309037,JapanesePatentNipponSheetGlass(J),2012,A153582,Glass,AlkaliSilicate,OtherSilicate,,Flake,,,,Composite,Filler,,,,Ex.4,,61.75,5.5,2.88,0.82,0.1,0,0,0.96,13.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
